,_id,l_ID,r_ID,l_name,l_city,l_zipcode,l_review_count,l_latitude,l_longitude,l_rating,l_address,l_zomato_id,l_yelp_id,r_name,r_city,r_zipcode,r_review_count,r_latitude,r_longitude,r_rating,r_address,r_zomato_id,r_yelp_id
30,30,a6387,b2383,Anthony & Marios Broadway Pizzeria,Las Vegas,89106,215,36.1617046,-115.1734184,4.0,840 S Rancho Dr,0,iL2-xJ4-eMsJk88PsbivbQ,Broadway Pizzeria,Las Vegas,89106,222,36.16105,-115.173014,4.2,840 South Rancho Drive$*$ Rancho Oakey$*$ Las Vegas$*$ NV 89106,16977660,0
480,480,a28523,b2373,The Cracked Egg,Henderson,89074,396,36.02840264,-115.0845215,3.5,1000 N Green Valley Pkwy$*$ Ste 480,0,At2bqa8emnEr5WNIosi0ow,The Cracked Egg,Las Vegas,89074,318,36.027749,-115.085723,4.2,1000 N Green Valley Parkway #480$*$ Henderson$*$ NV 89074,16981241,0
541,541,a41175,b2373,The Chicken Shack,Henderson,89074,29,36.02957118,-115.0626827,4.0,50 North Valle Verde Dr,0,1i2zvEyKaxoHX6CyR4WdrQ,The Cracked Egg,Las Vegas,89074,318,36.027749,-115.085723,4.2,1000 N Green Valley Parkway #480$*$ Henderson$*$ NV 89074,16981241,0
630,630,a61593,b2373,The Shake and Dog,Henderson,89074,7,36.0441924,-115.0466392,3.0,237 N Stephanie St,0,f4eUHYdkgfaOvi6rU-o7Kg,The Cracked Egg,Las Vegas,89074,318,36.027749,-115.085723,4.2,1000 N Green Valley Parkway #480$*$ Henderson$*$ NV 89074,16981241,0
1157,1157,a68958,b571,Ray's Pizza II,Phoenix,85085,11,33.79833,-112.0670204,3.0,515 E Carefree Hwy,0,vMh4madPU3qhNX7P7d8WGA,Sauce Pizza & Wine,Phoenix,85085,215,33.713052,-112.111734,4.0,2470 W Happy Valley Rd$*$ Phoenix$*$ AZ 85085,17030169,0
1204,1204,a120029,b571,Sauce Pizza & Wine,Phoenix,85085,159,33.7151321,-112.1130676,3.5,2470 W Happy Valley Rd,0,8J55FMsOXei4Xh1jHSpElw,Sauce Pizza & Wine,Phoenix,85085,215,33.713052,-112.111734,4.0,2470 W Happy Valley Rd$*$ Phoenix$*$ AZ 85085,17030169,0
1327,1327,a88298,b362,Firebirds Wood Fired Grill,Charlotte,28216,110,35.352549,-80.851181,4.0,6801 Northlake Mall Dr,0,qVVjbYR0LIfJuIIzgPMTuw,Firebirds Wood Fired Grill,Charlotte,28216,423,35.349937,-80.850339,4.2,6801 Northlake Mall Drive$*$ Charlotte$*$ NC 28216,17147235,0
1464,1464,a46401,b425,Bonfyre American Grille,Madison,53713,179,43.03473537,-89.42256114,3.5,2601 W Beltline Hwy,0,2YlUn3s132hNq5ueGeIiJg,Bonfyre American Grille,Madison,53713,575,43.034786,-89.42118,4.2,2601 West Beltline Highway$*$ Madison$*$ WI 53713,17503464,0
1486,1486,a53500,b425,Bourbon Street Grille,Madison,53713,35,43.0490272,-89.3370562,2.5,6308 Metropolitan Ln,0,rIgbi8lCr85UIKSQDVetZw,Bonfyre American Grille,Madison,53713,575,43.034786,-89.42118,4.2,2601 West Beltline Highway$*$ Madison$*$ WI 53713,17503464,0
1497,1497,a61863,b425,Jalapeo Mexican Grill,Madison,53713,7,43.0470342,-89.3939631,4.0,1821 S Park St,0,7CD4qTysNB-lis85QFS8Tg,Bonfyre American Grille,Madison,53713,575,43.034786,-89.42118,4.2,2601 West Beltline Highway$*$ Madison$*$ WI 53713,17503464,0
1619,1619,a4057,b3523,Luna Bakery Cafe,Cleveland,44106,207,41.5005333,-81.5921431,4.0,2482 Fairmount Blvd,0,Kuv-QSWUtOm5IjAxcFMl8A,Presti's Bakery & Caf,Cleveland,44106,544,41.508837,-81.598206,4.4,12101 Mayfield Rd$*$ Cleveland$*$ OH 44106,16962390,0
1937,1937,a81183,b3523,Presti's Bakery,Cleveland,44106,235,41.5088666,-81.598344,4.0,12101 Mayfield Rd,0,orrrhqRRUORIzUSxWTveKg,Presti's Bakery & Caf,Cleveland,44106,544,41.508837,-81.598206,4.4,12101 Mayfield Rd$*$ Cleveland$*$ OH 44106,16962390,0
