,_id,l_ID,r_ID,l_name,l_city,l_zipcode,l_review_count,l_latitude,l_longitude,l_rating,l_address,l_zomato_id,l_yelp_id,r_name,r_city,r_zipcode,r_review_count,r_latitude,r_longitude,r_rating,r_address,r_zomato_id,r_yelp_id,label
1327,1327,a88298,b362,Firebirds Wood Fired Grill,Charlotte,28216,110,35.352549,-80.851181,4,6801 Northlake Mall Dr,0,qVVjbYR0LIfJuIIzgPMTuw,Firebirds Wood Fired Grill,Charlotte,28216,423,35.349937,-80.850339,4.2,6801 Northlake Mall Drive$*$ Charlotte$*$ NC 28216,17147235,0,1
2028,2028,a106870,b3561,Trattoria Roman Gardens,Cleveland,44106,137,41.5088723,-81.5977166,3.5,12207 Mayfield Rd,0,nIJr76IGIGS3nkmieY3Vow,Trattoria on the Hill,Cleveland,44106,795,41.508837,-81.59765,4.2,12207 Mayfield Rd$*$ Cleveland$*$ OH 44106,16963129,0,1
2991,2991,a77320,b304,Hibachi Express,Charlotte,28262,5,35.297087,-80.755382,3,7945 N Tryon St$*$ Ste 100,0,UITPqkoDytnHT4kxaAyDeA,Toyama Express,Charlotte,28262,560,35.337772,-80.756986,4.7,2130 E Arbors Drive$*$ Charlotte$*$ NC 28262,17148399,0,0
3161,3161,a115302,b304,Teriyaki Madness,Charlotte,28262,16,35.3402728,-80.7649282,3.5,2700 West Mallard Creek Church Rd$*$ Ste 420,0,SYJq8ydGY9oStzpVuHu3uw,Toyama Express,Charlotte,28262,560,35.337772,-80.756986,4.7,2130 E Arbors Drive$*$ Charlotte$*$ NC 28262,17148399,0,0
5337,5337,a104781,b326,Huntersville Family Restaurant,Huntersville,28078,28,35.41404,-80.85258,4,105 North Statesville Rd$*$ Ste J,0,Cm7PADnhAzW5R2fQPuelEQ,La Unica Mexican Restaurant,Charlotte,28078,471,35.436652,-80.870662,4.4,16203 Northcross Drive$*$ Huntersville$*$ Charlotte$*$ NC 28078,17149565,0,0
5581,5581,a108673,b378,Mama's Pizza Express,Huntersville,28078,46,35.4045977,-80.8413535,4,500 S Old Statesville Rd,0,mULK9fWh8kU4_vQYkd9ntA,Tony's Pizza,Charlotte,28078,237,35.357386,-80.868146,4.2,9548 Mount Holly-Huntersville Road$*$ Charlotte$*$ NC 28078,17148387,0,0
8134,8134,a131209,b527,Sushi Catcher,Glendale,85308,319,33.63921606,-112.1959626,4,6334 W Bell Rd,0,gcNC4k7TZJVX_1YHdIkDNQ,Yen Sushi & Sake Bar,Phoenix,85308,238,33.639965,-112.15165,4.3,17037 North 43rd Avenue #A3$*$ Deer Valley$*$ Phoenix$*$ AZ 85308,17030919,0,0
8940,8940,a31300,b366,Cajun Yard Dog,Charlotte,28277,194,35.0971238,-80.78056097,4,8036 Providence Rd$*$ Ste 900,0,KbLI0QELlAwbfDUVwo43DQ,Cajun Yard Dog,Charlotte,28277,471,35.098556,-80.778609,4.2,8036 Providence Road$*$ Suite 900$*$ Charlotte$*$ NC 28277,17146864,0,1
11882,11882,a120276,b390,Ilios Noche,Charlotte,28277,195,35.05321461,-80.77040053,4,11508 Providence Rd,0,c-l4nDPZcEwapEiV-Xf08w,Ilios Noche,Charlotte,28277,695,35.054023,-80.769803,4.1,11508 Providence Road$*$ Suite I$*$ Charlotte$*$ NC 28277,17147444,0,1
12099,12099,a130997,b314,Bad Daddy's Burger Bar,Charlotte,28277,248,35.05277023,-80.84741245,4,15105 John J Delaney Dr$*$ Ste A,0,YXa0A7aXV9wWNR0qJVVSDg,Bad Daddy's,Charlotte,28277,865,35.0537776,-80.8467812,4.5,15105 John J Delaney Drive$*$ Charlotte$*$ NC 28277,17149790,0,1
12473,12473,a6428,b503,Cibo,Phoenix,85003,1457,33.45496,-112.079908,4.5,603 N 5th Ave,0,9a3DrZvpYxVs3k_qwlCNSw,Cibo,Phoenix,85003,1062,33.454891,-112.080035,4.7,603 North 5th Avenue$*$ Downtown$*$ Phoenix$*$ AZ 85003,17025909,0,1
13674,13674,a6254,b397,Thai Thai Takeout,Charlotte,28203,90,35.1999856,-80.844183,3.5,1412-C East Blvd,0,EPBEz9ifFo6JqPUUH_BdMg,Thai Taste,Charlotte,28203,459,35.210508,-80.856277,4.1,324 East Boulevard$*$ Dilworth$*$ Charlotte$*$ NC 28203,17148369,0,0
14579,14579,a25978,b332,Shu Salon,Charlotte,28203,3,35.216533,-80.856083,3.5,1426 S Tryon St,0,v-bEPfF6jdrTOfvsnrb4xA,Ru Sans,Charlotte,28203,1182,35.197861,-80.851802,4.3,2440 Park Road$*$ Charlotte$*$ NC 28203,17148099,0,0
14761,14761,a27676,b336,1100 South,Charlotte,28203,7,35.2177876,-80.8505244,3.5,1100 South Blvd,0,yEWw0xIYQ_CCikn9Ob480A,300 East,Charlotte,28203,617,35.210862,-80.856527,4.3,300 East Boulevard$*$ Charlotte$*$ NC 28203,17146635,0,0
16143,16143,a48161,b392,South End Fieldhouse,Charlotte,28203,3,35.2205488,-80.8583586,4.5,1327 S Mint St,0,JS_SUNjiwXvkzCz-QVMGCQ,Sullivan's Steakhouse,Charlotte,28203,486,35.210526,-80.859246,4.1,1928 South Boulevard$*$ Charlotte$*$ NC 28203,17148288,0,0
