,Unnamed: 0,_id,l_ID,r_ID,l_name,l_city,l_zipcode,l_review_count,l_latitude,l_longitude,l_rating,l_address,l_zomato_id,l_yelp_id,r_name,r_city,r_zipcode,r_review_count,r_latitude,r_longitude,r_rating,r_address,r_zomato_id,r_yelp_id,label
23,23660,23660,a133408,b317,Taqueria La Unica,Indian Trail,28079,180,35.0678584,-80.6775771,4.5,4305 Old Monroe Rd,0,57aBx6Mo_VRk_kMA8J5Efg,Taqueria la Unica,Charlotte,28079,345,35.067698,-80.678044,4.5,4305 Old Monroe Road$*$ NC 28079,17149730,0,1
469,313893,313893,a90401,b587,Phoenix Blue Fin,Phoenix,85004,194,33.4640983,-112.073569,4.0,1401 N Central Ave,0,oMBNvB6tHlwW3UwGBYqljw,Phoenix Public Market Cafe,Phoenix,85004,113,33.4555828,-112.0736239,4.0,14 East Pierce Street$*$ Downtown$*$ Phoenix$*$ AZ 85004,17033807,0,0
177,106767,106767,a108650,b524,Chuck E Cheese's Pizza,Phoenix,85044,10,33.3295481,-111.9786084,3.0,4825 E Warner Rd,0,8dSKEPQn0pmZEmWTKZI81Q,Nello's Pizza,Phoenix,85044,404,33.330861,-111.982886,4.3,4710 E Warner Road$*$ Phoenix$*$ AZ 85044,17028076,0,0
17,16636,16636,a63958,b307,Bad Daddy's Burger Bar,Charlotte,28203,386,35.199097,-80.840805,4.0,1626 East Blvd,0,yWUBX9Pe6pzh1PjVj04UmQ,Bad Daddy's,Charlotte,28203,1363,35.199007,-80.8408317,4.6,1626 East Boulevard$*$ Charlotte$*$ NC 28203,17148552,0,1
488,326967,326967,a143170,b509,Grassroots Kitchen & Tap,Phoenix,85016,347,33.50757235,-112.0375021,4.5,2119 E Camelback Rd$*$ Ste A21,0,VSX3ixrqQFwwGBUf15s0EQ,True Food Kitchen,Phoenix,85016,1072,33.509703,-112.027346,4.5,2502 East Camelback Road$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85016,17030372,0,0
84,60064,60064,a65498,b1550,Lucy's,Pittsburgh,15222,38,40.4524729,-79.9815138,4.5,2216 Penn Ave,0,im2J4GZZdEl7s4o21D7rgw,Deluca's,Pittsburgh,15222,1153,40.451356,-79.983915,4.3,2015 Penn Ave$*$ Pittsburgh$*$ PA 15222,17036305,0,0
374,252483,252483,a38726,b1602,Jurassic Grill,Champaign,61820,27,40.1104696,-88.2331177,3.5,404 E Green St,0,mZJdFjxvVddqPN5RZdKSHg,Maize Mexican Grill,Champaign,61820,253,40.110373,-88.238918,4.6,60 E Green St$*$ Champaign$*$ IL 61820,17317935,0,0
236,150249,150249,a50410,b2339,El Loco,Las Vegas,89109,5,36.124423,-115.146372,4.0,2880 Las Vegas Blvd S,0,jT_1GAMMFhgE4buLGsd-2Q,Jol Robuchon,Las Vegas,89109,289,36.10222,-115.169516,4.3,3799 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978909,0,0
192,116425,116425,a67014,b2344,Fatburger,Henderson,89014,69,36.070524,-115.0717488,2.5,4663 E Sunset Rd,0,UY9t1EL5PYxPiBGivkeE9Q,In-N-Out Burger,Las Vegas,89014,455,36.063586,-115.034151,4.3,1051 W Sunset Rd$*$ Henderson$*$ NV 89014,16981245,0,0
583,360925,360925,a90918,b1905,La Favorita,Edinburgh,EH6 8SA,105,55.96441894,-3.176801012,4.5,325 Leith Walk,0,8axxI33rUyswfRk_v3vS0A,La Favorita,Edinburgh,EH6 8SA,328,55.96466944,-3.176858333,4.5,325-331 Leith Walk$*$ Leith$*$ Edinburgh EH6 8SA,7600217,0,1
265,173638,173638,a75955,b2390,World's Fare Buffet,Las Vegas,89109,13,36.135387,-115.159248,2.0,Riviera Hotel$*$ 2901 S Las Vegas Blvd,0,Fv3jcRVP8WBEdTR8E4l1hQ,The Wynn Buffet,Las Vegas,89109,707,36.129444,-115.166111,4.1,3131 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89109,16977686,0,0
205,126503,126503,a3440,b2304,Boardhouse Serious Sandwich,Las Vegas,89109,9,36.1130255,-115.1634847,2.5,4178 Koval Ln,0,Y4nw_rZUPGw-aRdx6kv4kA,Earl of Sandwich,Las Vegas,89109,631,36.11077,-115.17282,4.7,Planet Hollywood$*$ 3667 South Las Vegas Boulevard$*$ The Strip$*$ Las Vegas$*$ NV 89109,16978241,0,0
398,265616,265616,a101006,b1667,Chase Bank,Champaign,61820,3,40.116051,-88.245719,4.5,201 W University Ave,0,zs4G7HIQvUVaZoWqwpVeEw,Cafe Kopi,Champaign,61820,78,40.1166,-88.2427,3.7,109 N Walnut St$*$ Champaign$*$ IL 61820,17317246,0,0
393,262417,262417,a77047,b1668,Cactus Grill,Champaign,61820,45,40.0996476,-88.2447937,4.0,1405 S Neil St$*$ Ste C,0,Z7r_FJXEyfyvVsyv2y7gFQ,Flat Top Grill,Champaign,61820,106,40.1114257,-88.2304292,3.7,607 S 6th St$*$ Champaign$*$ IL 61820,17317303,0,0
143,86789,86789,a108985,b456,Gino's Restaurant,Madison,53703,37,43.075131,-89.394445,3.5,540 State St,0,KAhavksKQwKbMzZHiNOyOQ,Lao Laan-Xang Restaurant,Madison,53703,198,43.0827,-89.3654,4.1,1146 Williamson St$*$ Madison$*$ WI 53703,17502331,0,0
