,Unnamed: 0,_id,l_ID,r_ID,l_name,l_city,l_zipcode,l_review_count,l_latitude,l_longitude,l_rating,l_address,l_zomato_id,l_yelp_id,r_name,r_city,r_zipcode,r_review_count,r_latitude,r_longitude,r_rating,r_address,r_zomato_id,r_yelp_id,label
447,297898,297898,a77239,b320,Midwood Auto Craft,Charlotte,28205,17,35.219118,-80.8091139,5.0,1312 Nandina St,0,WSvj3dy6u0LEoROMTy1ZQQ,Midwood Smokehouse,Charlotte,28205,582,35.220746,-80.815072,4.4,1401 Central Avenue$*$ Charlotte$*$ NC 28205,17150362,0,1
133,83159,83159,a79323,b456,Nick's Restaurant,Madison,53703,67,43.0750082,-89.3891551,3.5,226 State St,0,zERyZLsAyB47bMZlfUV-SQ,Lao Laan-Xang Restaurant,Madison,53703,198,43.0827,-89.3654,4.1,1146 Williamson St$*$ Madison$*$ WI 53703,17502331,0,0
417,277075,277075,a35517,b423,Salvatore's Tomato Pies,Sun Prairie,53590,12,43.1830287,-89.2128275,4.5,121 E Main St,0,Gm---0O1y_4TAQAl5qKvqQ,Salvatore's Tomato Pies,Madison,53590,256,43.18294,-89.220311,4.3,503 W. Main St.$*$ Sun Prairie$*$ WI 53590,17503724,0,1
174,105561,105561,a47511,b524,Jimmy & Joe's Pizzeria,Phoenix,85044,83,33.34816019,-111.9829226,3.5,4747 E Elliot Rd,0,t7qvPH0G30w6xX5Q4lf8Jw,Nello's Pizza,Phoenix,85044,404,33.330861,-111.982886,4.3,4710 E Warner Road$*$ Phoenix$*$ AZ 85044,17028076,0,0
329,232034,232034,a140788,b387,Indochine Grill,Charlotte,28202,3,35.225324,-80.842187,2.5,210 E Trade St,0,2u3OFITjxUzUdl_-8KeUFg,Mimosa Grill,Charlotte,28202,370,35.225329,-80.845572,4.1,Two Wells Fargo Center$*$327 S Tryon Street$*$ Charlotte$*$ NC 28202,17147766,0,0
186,112431,112431,a120433,b354,Paper Source,Charlotte,28210,21,35.14610739,-80.8275065,4.5,6800 Phillips Pl Ct$*$ Ste A & B,0,u5nQZunVrdwFTzYFd0Eodg,Cafe Monte,Charlotte,28210,852,35.147713,-80.829113,4.2,6700 Fairview Road$*$Suite 108$*$ Charlotte$*$ NC 28210,17148534,0,0
245,160303,160303,a63354,b2390,China Star Buffet,Las Vegas,89109,48,36.14217661,-115.13641,2.0,2590 S Maryland Pkwy,0,Nsi49BE_XsjJ0oOXwhH8hA,The Wynn Buffet,Las Vegas,89109,707,36.129444,-115.166111,4.1,3131 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89109,16977686,0,0
88,63366,63366,a137821,b1577,Sol Pilates,Pittsburgh,15222,3,40.443611,-79.9980439,4.0,900 Penn Ave,0,VeYWXO1AaqIwpnyPUMckxQ,Meat & Potatoes,Pittsburgh,15222,1865,40.4431017,-80.0012236,4.2,649 Penn Ave$*$ Pittsburgh$*$ PA 15222,17042327,0,0
430,287603,287603,a2076,b3597,Nova Bar & Grill,Cleveland,44113,19,41.5000531,-81.6985733,4.0,1313 W 6th St,0,XHUGoHv5mP1zsgloxI-Oig,Blue Point Grille,Cleveland,44113,525,41.499387,-81.699233,4.1,700 W Saint Clair Ave$*$ Cleveland$*$ OH 44113,16959319,0,0
376,253527,253527,a40722,b1692,Green Street Realty,Champaign,61820,4,40.110496,-88.240832,2.0,34 E Green St$*$ Ste 10,0,RLKjtWefVl3I5E-7EgHkJA,Great Harvest Bread Co.,Champaign,61820,56,40.0889,-88.2463,3.6,2149 S Neil St$*$ Champaign$*$ IL 61820,17317315,0,0
