ID,name,address,city,zipcode,latitude,longitude,review_count,rating,zomato_id,yelp_id
b1,Katz's Delicatessen,205 East Houston Street$*$ New York$*$ NY 10002,New York City,10002,40.72232778,-73.98735,4292,4.9,16769546,0
b2,Lombardi's Pizza,32 Spring Street$*$ New York$*$ NY 10012,New York City,10012,40.721675,-73.99558889,2124,4.9,16771079,0
b3,Buddakan,75 9th Avenue$*$ New York$*$ NY 10011,New York City,10011,40.742232,-74.0055112,1519,4.9,16761344,0
b4,Shake Shack,691 8th Avenue$*$ New York$*$ NY 10036,New York City,10036,40.75873611,-73.98901389,941,4.9,16785398,0
b5,Shake Shack,366 Columbus Avenue W 77th Street$*$ New York$*$ NY 10024,New York City,10024,40.78072222,-73.97649444,1545,4.9,16783153,0
b6,Levain Bakery,167 W 74th Street$*$ New York$*$ NY 10023,New York City,10023,40.779512,-73.979726,498,4.9,16770824,0
b7,Ippudo,65 4th Avenue$*$ New York$*$ NY 10003,New York City,10003,40.73073611,-73.99068333,1362,4.8,16781875,0
b8,Shake Shack,Madison Square Park$*$ 23rd & Madison$*$ New York$*$ NY 10010,New York City,10010,40.7408681,-73.9879841,3386,4.8,16777384,0
b9,Pommes Frites,128 Macdougal Street$*$ New York$*$ NY 10012,New York City,10012,40.730031,-74.000162,1189,4.8,16775526,0
b10,Five Napkin Burger,630 9th Avenue$*$ New York$*$ NY 10036,New York City,10036,40.76026667,-73.99121111,1064,4.8,16782050,0
b11,S'Mac,345 E 12th Street$*$ New York$*$ NY 10003,New York City,10003,40.73036944,-73.98403889,1115,4.8,16776778,0
b12,The Door,16307 Baisley Boulevard$*$ Jamaica$*$ Queens$*$ NY 11434,New York City,11434,40.67991389,-73.77745833,667,4.8,16783140,0
b13,Momofuku Noodle Bar,171 1st Avenue$*$ New York$*$ NY 10003,New York City,10003,40.72914167,-73.98423889,1614,4.7,16781904,0
b14,Burger Joint,Le Parker Meridien Hotel$*$ 119 W 56th Street$*$ New York$*$ NY 10019,New York City,10019,40.7641849,-73.9784051,1444,4.7,16761402,0
b15,Doughnut Plant,379 Grand Street$*$ New York$*$ NY 10002,New York City,10002,40.71645,-73.98851111,805,4.7,16764602,0
b16,Eleven Madison Park,11 Madison Avenue$*$ New York$*$ NY 10010,New York City,10010,40.7415086,-73.9866285,722,4.7,16765367,0
b17,Caf Habana,17 Prince Street$*$ New York$*$ NY 10012,New York City,10012,40.722933,-73.994193,797,4.7,16761927,0
b18,Caf Mogador,101 Saint Marks Place$*$ New York$*$ NY 10009,New York City,10009,40.72724167,-73.98456667,701,4.7,16761939,0
b19,Roberta's,261 Moore Street$*$ Brooklyn$*$ NY 11206,New York City,11206,40.704893,-73.934352,511,4.7,16781877,0
b20,L & B Spumoni Gardens,2725 86th Street$*$ Brooklyn$*$ NY 11223,New York City,11223,40.594492,-73.981231,824,4.7,16770070,0
b21,Taverna Kyclades,33-07 Ditmars Boulevard$*$ Astoria$*$ NY 11105,New York City,11105,40.77516944,-73.90925556,656,4.7,16779383,0
b22,Il Bambino,34-08 31st Avenue$*$ Queens$*$ NY 11106,New York City,11106,40.76299167,-73.92070833,554,4.7,16781519,0
b23,Peaches,393 Lewis Avenue$*$ Brooklyn$*$ NY 11233,New York City,11233,40.68175,-73.93483056,485,4.7,16782045,0
b24,Junior's,1515 Broadway$*$ New York$*$ NY 10036,New York City,10036,40.75824722,-73.98644167,761,4.6,16769241,0
b25,The Spotted Pig,314 W 11th Street$*$ New York$*$ NY 10014,New York City,10014,40.73569167,-74.00672222,2158,4.6,16777961,0
b26,The Halal Guys,6th Avenue & W 53rd Street$*$ New York$*$ NY 10019,New York City,10019,40.7617884,-73.9790839,564,4.6,16783998,0
b27,Max Brenner,841 Broadway$*$ New York$*$ NY 10003,New York City,10003,40.73441389,-73.99143333,1062,4.6,16771928,0
b28,Peter Luger Steak House,178 Broadway$*$ Brooklyn$*$ NY 11211,New York City,11211,40.70987778,-73.96234167,2115,4.6,16775039,0
b29,Carmine's,200 W 44th Street$*$ New York$*$ NY 10036,New York City,10036,40.757498,-73.986654,2004,4.6,16762160,0
b30,Le Bernardin,155 W 51st Street$*$ New York$*$ NY 10019,New York City,10019,40.76080278,-73.98191944,1064,4.6,16770626,0
b31,Amy Ruth's,113 W 116th Street$*$ New York$*$ NY 10026,New York City,10026,40.80217778,-73.95048611,665,4.6,16759343,0
b32,Caracas Arepa Bar,93 East 7th Street$*$ New York$*$ NY 10009,New York City,10009,40.726875,-73.98541389,845,4.6,16762096,0
b33,Egg,109 N 3rd Street$*$ Brooklyn$*$ NY 11249,New York City,11249,40.71667222,-73.96177778,600,4.6,16765065,0
b34,Russ & Daughters,179 E Houston Street$*$ New York$*$ NY 10002,New York City,10002,40.72273611,-73.98823611,268,4.6,16776730,0
b35,Denino's Pizzeria & Tavern,524 Port Richmond Avenue$*$ NY 10302,New York City,10302,40.63001667,-74.14006667,755,4.6,16764249,0
