,_id,l_ID,r_ID,l_name,l_city,l_zipcode,l_review_count,l_latitude,l_longitude,l_rating,l_address,l_zomato_id,l_yelp_id,r_name,r_city,r_zipcode,r_review_count,r_latitude,r_longitude,r_rating,r_address,r_zomato_id,r_yelp_id,predicted
480,480,a28523,b2373,The Cracked Egg,Henderson,89074,396,36.02840264,-115.0845215,3.5,1000 N Green Valley Pkwy$*$ Ste 480,0,At2bqa8emnEr5WNIosi0ow,The Cracked Egg,Las Vegas,89074,318,36.027749,-115.085723,4.2,1000 N Green Valley Parkway #480$*$ Henderson$*$ NV 89074,16981241,0,1
1204,1204,a120029,b571,Sauce Pizza & Wine,Phoenix,85085,159,33.7151321,-112.1130676,3.5,2470 W Happy Valley Rd,0,8J55FMsOXei4Xh1jHSpElw,Sauce Pizza & Wine,Phoenix,85085,215,33.713052,-112.111734,4,2470 W Happy Valley Rd$*$ Phoenix$*$ AZ 85085,17030169,0,1
1327,1327,a88298,b362,Firebirds Wood Fired Grill,Charlotte,28216,110,35.352549,-80.851181,4,6801 Northlake Mall Dr,0,qVVjbYR0LIfJuIIzgPMTuw,Firebirds Wood Fired Grill,Charlotte,28216,423,35.349937,-80.850339,4.2,6801 Northlake Mall Drive$*$ Charlotte$*$ NC 28216,17147235,0,1
1464,1464,a46401,b425,Bonfyre American Grille,Madison,53713,179,43.03473537,-89.42256114,3.5,2601 W Beltline Hwy,0,2YlUn3s132hNq5ueGeIiJg,Bonfyre American Grille,Madison,53713,575,43.034786,-89.42118,4.2,2601 West Beltline Highway$*$ Madison$*$ WI 53713,17503464,0,1
1937,1937,a81183,b3523,Presti's Bakery,Cleveland,44106,235,41.5088666,-81.598344,4,12101 Mayfield Rd,0,orrrhqRRUORIzUSxWTveKg,Presti's Bakery & Caf,Cleveland,44106,544,41.508837,-81.598206,4.4,12101 Mayfield Rd$*$ Cleveland$*$ OH 44106,16962390,0,1
2059,2059,a117289,b3515,L'Albatros,Cleveland,44106,468,41.51174396,-81.60639534,4.5,11401 Bellflower Rd,0,SzcCJJmreMlWCsNjupdVAA,L'Albatros,Cleveland,44106,884,41.5115,-81.605604,4.5,11401 Bellflower Rd$*$ Cleveland$*$ OH 44106,16964270,0,1
2377,2377,a53240,b2349,KoMex Fusion,Las Vegas,89107,1128,36.179939,-115.206417,4.5,633 N Decatur Blvd$*$ Ste H,0,zdE82PiD6wquvjYLyhOJNA,KoMex Fusion,Las Vegas,89107,195,36.179453,-115.20635,4.3,633 N Decatur Blvd Ste H$*$ Las Vegas$*$ NV 89107,16982239,0,1
2936,2936,a68380,b396,Flying Saucer Draught Emporium,Charlotte,28262,196,35.31669443,-80.7405518,4,9605 N Tryon St$*$ Ste A,0,gOOdzjVxP7Z7bGjsstRjcw,The Flying Saucer Draught Emporium,Charlotte,28262,446,35.316954,-80.738968,4.1,Terraces At University Place$*$ 9605 N Tryon Street Suite A$*$ Charlotte$*$ NC 28262,17147264,0,1
3277,3277,a1510,b378,Tony's Pizza,Huntersville,28078,81,35.357556,-80.868144,4,9548 Mt Holly Huntersville Rd,0,fOKeVUHC7nb6c8G5sILdHQ,Tony's Pizza,Charlotte,28078,237,35.357386,-80.868146,4.2,9548 Mount Holly-Huntersville Road$*$ Charlotte$*$ NC 28078,17148387,0,1
4620,4620,a58949,b376,Bagel Bin,Huntersville,28078,57,35.442525,-80.861123,3.5,9815 Sam Furr Rd$*$ Ste I,0,VVdbPZs0M6d_X5XdgyAhig,Bagel Bin,Charlotte,28078,229,35.442068,-80.861476,4.2,Northcross$*$ 9815 Sam Furr Road Suite I$*$ NC 28078,17146715,0,1
5187,5187,a92700,b326,La Unica Mexican Restaurant,Huntersville,28078,90,35.43660607,-80.8706376,3.5,16203 Northcross Dr,0,jR_p2I8h6w5lpf6GWk9Dzg,La Unica Mexican Restaurant,Charlotte,28078,471,35.436652,-80.870662,4.4,16203 Northcross Drive$*$ Huntersville$*$ Charlotte$*$ NC 28078,17149565,0,1
6953,6953,a57911,b521,Mike and Ronda's The Place,Glendale,85308,406,33.63867334,-112.1709838,4,5171 W Bell Rd,0,fOnpoMXToa5Qiyg95E6ENg,Mike & Ronda's The Place,Phoenix,85308,357,33.638777,-112.170874,4.3,5171 West Bell Road$*$ Deer Valley$*$ Phoenix$*$ AZ 85308,17027928,0,1
